sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Hall movility,Lattice thermal conductivity,Resistivity,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Electrical conductivity,Power factor,Figure of merit Z
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,350,0.00023118,0.060109,,,0.00031944,,0.11381,,4325.6337053378,0.0004413959,
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,400,0.00022515,0.042932,,,0.00030068,,0.12326,,4441.4834554741,0.0004015477,
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,450,0.00021912,0.025754,,,0.00028193,,0.13271,,4563.7093829865,0.0003627443,
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,500,0.00021309,0.008577,,,0.00026318,,0.14216,,4692.8527852081,0.0003250444,
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,550,0.00020706,-0.0086005,,,0.00024442,,0.15161,,4829.5180141022,0.0002885209,
14598,10.1038/ncomms10287,20719,1a,25656,8.04*10^17,Tellurium,600,0.00020103,,,,0.00022567,,0.16106,,4974.3819330448,0.0002533301,
14598,10.1038/ncomms10287,20729,3b,25656,8.04*10^17,Tellurium,300,0.00023721,,,,,,,,4215.673875469,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,350,,0.060215,,,,,0.15128,,,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,400,,0.045584,,,,,0.16669,,,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,450,,0.030953,,,,,0.18209,,,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,500,,0.016322,,,,,0.19749,,,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,550,,0.0016914,,,,,0.21289,,,,
14598,10.1038/ncomms10287,20719,1a,25657,1.69*10^18,Tellurium,600,,,,,,,0.2283,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,350,,0.061988,,,,,0.29001,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,400,,0.047394,,,,,0.33761,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,450,,0.0328,,,,,0.38522,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,500,,0.018206,,,,,0.43282,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,550,,0.0036116,,,,,0.48042,,,,
14598,10.1038/ncomms10287,20719,1a,25658,7.48*10^18,Tellurium,600,,,,,,,0.52803,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,350,,0.043683,,,,,0.21861,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,400,,0.031584,,,,,0.33489,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,450,,0.019486,,,,,0.45117,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,500,,0.0073871,,,,,0.56744,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,550,,-0.0047117,,,,,0.68372,,,,
14598,10.1038/ncomms10287,20719,1a,25659,2.01*10^19,Tellurium,600,,,,,,,0.8,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,350,,0.04399,,,,,0.26884,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,400,,0.032042,,,,,0.41343,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,450,,0.020094,,,,,0.55802,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,500,,0.0081463,,,,,0.70261,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,550,,-0.0038016,,,,,0.84719,,,,
14598,10.1038/ncomms10287,20719,1a,25660,2.65*10^19,Tellurium,600,,,,,,,0.99178,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,350,,0.032507,,,,,0.14594,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,400,,0.022437,,,,,0.28021,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,450,,0.012367,,,,,0.41448,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,500,,0.0022966,,,,,0.54874,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,550,,-0.0077735,,,,,0.68301,,,,
14598,10.1038/ncomms10287,20719,1a,25661,3.00*10^19,Tellurium,600,,,,,,,0.81728,,,,
14598,10.1038/ncomms10287,20720,2d,25661,3.00*10^19,Tellurium,300,,0.042577,,,,,,,,,
14598,10.1038/ncomms10287,20720,2d,25662,μ〜T^-1.5,tellurium,350,,0.07005,,,,,,,,,
14598,10.1038/ncomms10287,20720,2d,25662,μ〜T^-1.5,tellurium,400,,0.061474,,,,,,,,,
14598,10.1038/ncomms10287,20720,2d,25662,μ〜T^-1.5,tellurium,450,,0.052899,,,,,,,,,
14598,10.1038/ncomms10287,20720,2d,25662,μ〜T^-1.5,tellurium,500,,0.044323,,,,,,,,,
14598,10.1038/ncomms10287,20720,2d,25662,μ〜T^-1.5,tellurium,550,,0.035747,,,,,,,,,
14598,10.1038/ncomms10287,20728,3a,25687,9.5*10^17,p-tellurium,300,,,,,0.00043889,,,,,,
